,Document,Topic,Name,Top_n_words,Probability,Representative_document
6352,rt : need a sub asap a pretty girl like me should never pay to smoke! i bet you piggies wish you could sit at my feet while i,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.958167651,FALSE
6365,"yes, we can just get our bike and license and stuff and get things together. then we can go visit everyone and smoke with everyone and actually enjoy our youth",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6367,not gonna have any smoke now for idk how long,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.936923667,FALSE
6382,omo wetin you they smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.854952994,FALSE
6385,coworker just found out she was pregnant and gave me her vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.496002332,FALSE
6388,got threads crossed. i can admit my mistakes. a lot of people do think her life is not worth saving cause she had a weed vape she had a prescription for you must admit.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.468402173,FALSE
6389,traded someone who smuggled missiles into africa for someone who couldnt smuggle a vape pen into europe. bet bout could beat her on on the court too. bad trade,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.327929648,FALSE
6391,"todo el trayecto a mancora en chelas y mi vape, amo xd",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.692109107,FALSE
6401,i see a big bowl in her future. aint gonna be no vape pen.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.698983423,FALSE
6408,rt : came tube smoke with me?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6415,"i just know his nut sack smells like motor oil, cigar smoke and salty cashews",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.905776617,FALSE
6416,rt : called him over to take a smoke got him high then fucked the shit outta that ass it felt soo good i need it again ht,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.701704296,FALSE
6424,"pretending, dancing with him to make (some) ????? people think that he's on their side. blowing smoke where it doesn't belong",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6425,rt : im a horrible person this guy from t talking about not vaping and i was thinking of posting this image and replacing t,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.794724782,FALSE
6438,night gets so lonely i need someone who gon pull up on me and smoke whenever i ask fr,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.276619928,FALSE
6451,rt : let me force intox u while i smoke and use your credit card,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.83766842,FALSE
6452,"stepping out of the smoke, came a bloody and limping cassian andor. he looked like a man whod fallen twelve stories and clawed his way back to the top. he looked as beautiful as anyone jyn had ever known.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6468,now to smoke ouid,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.868662232,FALSE
6480,did she bring the vape pen? its probably worth more now,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.470085969,FALSE
6489,did you blow smoke out of several holes?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.95413871,FALSE
6497,this has to be the dumbest prisoner swap in the history of mankind. one of the biggest arms dealer in the world for miss vape queen herself? make it make sense,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.327929648,FALSE
6501,"just look at it like a math equation. was it worth getting a wnba vape pen smuggler for a guy called the merchant of death? if you say yes, you lose your privilege of speaking out against gun control.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.327929648,FALSE
6502,"he thanked her and inhaled a smoke, letting his lungs consume it before exhaling the rest. tiredness resonates within him, and he crouches down on the cold concrete, knees pressing against his chest, inhaling deeply.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6507,got too high. now i feel subby. need to remember not to smoke while jacking off. :/,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.994168089,FALSE
6509,excuse the tmi but i woke up to my time of the month and usually on my first damn i'm cramping and i smoke the most and i worked all night with cramps and i already told him months ago u can't ask for that cause i paid a damn parkin ticket that wad $250 so hell n tf no,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.882464648,FALSE
6513,rt : wanna smoke the same sh*t this guy is smokin.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6518,lol say i really feel bad. i used to drop niggas off just to take the money cause they wanna smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.888301175,TRUE
6525,only racist types use that term. and she had a vape pen calm your tits thats hardly smuggling drugs. i get the impression youd buy anything sold to you.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.375861121,FALSE
6528,man that morning smoke sum serious,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6533,"based on some stuff im seeing, it seems south carolina may be backing off of loggains. definitely still a possibility, but it seems some of the smoke is definitely dying out on that.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.948008074,FALSE
6544,rt : hell yeah!!!! now where's my vape? #worldcup #crovsbra,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.977665776,FALSE
6545,next time we smoke together,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6546,"that's cool, i don't give a shit what type a cigarette that you prefer to smoke, i needed a reason to talk to you",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.740662029,FALSE
6547,rt : appreciate it man. you basically had it also so much smoke around yankees/rodon,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.837931808,FALSE
6549,a heir of sand and smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.89494636,FALSE
6559,"no. what she did there isn't illegal here, she had a prescription for medical-grade cbd/hemp oil in a vape. it is the same medicine used by millions of people to treat stress &amp; other illnesses. on another note did you know she won a gold medal for the united states in ?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.50224347,FALSE
6561,a lot of people are gonna die because an asshole could not discard her vape pen.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.489365076,FALSE
6580,"just stick to writting temesgen, you sound no good. plus you wasted your life chasing smoke",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6593,he smoke really good one,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6596,rt : messi is on smoke for the entire dutch team hes got that dawg in him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6606,rt : can i smoke while you watch me pound my fat pussy ? free vip,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.775790496,FALSE
6622,"[ * knitting his brow . there s still a little confusion , ] what does it mean , for it to be vaporized ? is it no longer smoke ?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6625,"the magister of shadows fell into the void and fought rocie the magister of smoke. the magister of shadows was never passive, for the rocie the magister of smoke was always too uninspired.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.334627536,FALSE
6628,we gotta smoke together someday,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.937832454,FALSE
6632,every time i forget to eat all day and then smoke i get so fucking high,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.869830344,FALSE
6639,missed opportunity they should've let him smoke a bowl and see what happens,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6644,if you keep letting him hit the vape hes all urs,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.880067938,FALSE
6661,personal benefit and suddenly by pleading guilty he saved anc. cha you smoke very strong dagga,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6665,i walked in the room eyes are red and i dont smoke banga..,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6666,"get your facts right before concluding on such trivial matter. did messi do this out of the blue,did he confront him for no reason you all turned blind sight when van gaal was bringing all the smoke and now he reacted,it's now arrogance abi.... nonsense",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6667,"rt : slightly better than nrt? vaping doubles nrt in efficacy. is that ""slight"" to you?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.905870002,FALSE
6696,rt : ha!! must be seething. he spent millions just to learn vaping helps smoker's qui,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.839018425,FALSE
6706,smoke and ash!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6712,what about if they smoke w you ? then yall go on the date,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.239940219,FALSE
6718,why is it so hard to find a cool nigga just to kick it and smoke with? yea we can do sumn freaky but lemme get a feel for you first,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.765172341,FALSE
6722,trust me you try smuggling a vape into the us youre going to prison here too. its really not that complicated,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.327929648,FALSE
6726,what do you people smoke?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6732,his daddy is a racist pos. smoke on that pack!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6740,# # he used to smoke a pack of cigarette a day,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6753,plus i only smoke with niggas . thats why i always have vaseline,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6760,can hasan go live i wanna smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6779,a guy who smoke coke caan,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6793,reglenme un vape de navidad porfis,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.436786918,FALSE
6805,finna hide my friends vape out of love. enough is enough.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.43385799,FALSE
6806,"[having eaten a good portion of my food- with the help of valentina (), i was ready to smoke. the budbar was calling my name, walking up to it with eyes wide and mouth salivating. picking up one of the pre rolls- but pocketing two of the nugs for later- and turning my +",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6807,it makes vaping worth it,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.859800937,FALSE
6814,"rt : brothersito/sista vamos pal , suelta el ""vape"" y dale tu alma a jesus ya basta.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.30765594,FALSE
6818,rt : i forgot that he used to smoke.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6820,"i hope you're super embarrassed when you finish reading this. also, he's a citizen of other countries. you got smoke for them too? don't trip over your clown shoes on your way out.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6843,"so real and true phantom thieves smoke weed. i think akechi has spent a lifetime surrounded by drugs and depravity, but for all that, he isnt actually used to taking anything himself. he almost dies coughing when he tries lol. cant help but be cringe",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.962138462,FALSE
6844,rt : hunter biden is going on offense?? how much parmesan did he smoke to make him think this is a good idea?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6851,rt : i bet i can out smoke the fremont troll,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.856523104,FALSE
6852,"stunning, and yes i'll smoke with you and i roll it up for us too.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.841608538,FALSE
6853,zbyz5bh21z # # i will smoke and i don't give a fuck abo # # # # # # # #,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6858,ready to knock a bitch down let me know if its smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.798117185,FALSE
6860,hell smoke anyone in his way especially paddy the baddie,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6862,s0qpahy19j # # i will smoke and i don't give a fuck abo # # # # # # # #,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6872,x8f70gpyv8 # # i will smoke and i don't give a fuck abo # # # # # # # #,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6881,smoke like its the last thing you'll do,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6884,ian hiding from shit pussc u still hang with tre yall niggas gay as hell be done smoke bof of you lame ass boys,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6902,rt : puffing on my silly little vape so i don't lose my silly little mind,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6904,shes awarded my evil vape juice and cummed cancel her acting trapped spread fingers on her leg looking like bambi,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.949760668,FALSE
6910,rt : a lil smoke &amp; wiggle,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.826296161,FALSE
6912,u just like me except i roll the smokes. how do you people smoke this in a confined space,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.978914063,FALSE
6914,rt : caught he told me he was going to go chill and smoke with his straight homie. the camera footage revealed there was a l,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.93196986,FALSE
6928,"from the look on the guy in purple's face, i think that dark smoke is saying that baby might be his!",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.706790725,FALSE
6939,"i know you dont smoke weed, i know this. but imma get you high today, cause its friday, you ain got no job, and you ain got shit to do!!",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6942,"jajaj nmms que huevona es la gente, estuve trabajando ah y un dia me toc llevar solo un vape xd",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.838051217,FALSE
6943,fauci is a charlatan - he's been blowing smoke up our a$$es for way too long - total fraud..... my money is on elon musk.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.92588674,FALSE
6953,i know im real sick when i cant even smoke a blunt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.889774645,FALSE
6969,"shiiid i thought lamilton was the og, this young blood wildin and he smoke wit cigarettes too..",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6970,"im in no mood for bullshit today, yall asked for rain not smoke.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.89606102,FALSE
6987,"slipped on the stairs coming down from a bridge, lost my vape, smashed my phone and hurt my elbow, tonight is going great ngl",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.328270265,FALSE
6994,"lmao mfs funny cause idk what smoke he talking about, he got smoke with himself",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
6998,i just smoke and clean when im sad,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.865206405,FALSE
6999,rt : not gonna lie big t was a complete waste of time we knew youd smoke him bro lol yeah i agree,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.850854393,FALSE
7001,"rt : ma'am, with all due respect, yer da apparently hired a rentboy, with whom he did smoke methamphetamine and engage in",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7002,"the man is in possession of smoking guns. previously, we only smelled smoke. once you see evidence, it's hard to unsee.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7005,"is he going to ""smoke"" it?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7013,all i know is when i'm stressin' out i smoke more,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.971447826,FALSE
7016,rt : smoke n chill,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7018,rt : i know you dont smoke weed. i know this. but imma get you high today. cause its friday you aint got not job and yo,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7023,i know you dont smoke weed i know this but imma get chu high today cause its friday you aint got no job and you aint got shit to do,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7030,"tengo nuevo vape, quieres?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.329813133,FALSE
7035,smoke is a minor classic!!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.943734483,FALSE
7038,can be vaping be sustainable? #insight #positivechange,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.659371955,FALSE
7050,"see me when you see me , if its smoke dawg you unleash it .",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7071,definitely need a smoke buddy.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7077,i just really dont like the ppl who think its cute to not now how to smoke properly,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.95362003,FALSE
7079,follow the smoke?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7090,but what cause i dont know what else to smoke out of,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7098,i will say it once again this man always smoke canadian loud,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7116,rt : i wanna smoke with jennifer coolidge,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.826158338,FALSE
7118,the urge to smoke when im stressed but i wont get anything done if im high,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7127,"i aint smoke in a whole day, im going through withdrawal",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.970139996,FALSE
7130,"it be like that sometimes, all ya need to do is smoke it all up.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7131,"and you're blowing smoke in my face (ew) and telling me all about your paycheck, take a shot with a fake smile to chase it, guess i'll take another round",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7139,"do you smoke? if so, what do you smoke? and why?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7142,rt : come smoke up with me?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7143,rt : #grillingandchilling #bbqnation #bbqtime #grillporn #outdoorcooking #bbqfood #weber #ribeye #smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7175,rt : okay i need to smoke a blunt w him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.935529253,FALSE
7205,"rt : good cop bad cop . officer tauro is teaching or rather forcing anti-smoking cop dreyden how to smoke, cigarettes and",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.927935109,FALSE
7217,im supposed to be doing my school work but instead im about to play in my pussy and smoke again after,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7222,buy one pack of cigs and never open em pros: you can take smoke breaks and always say you only have one cig youll never smell like cig cause you dont actually smoke cons: edge watch,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7224,rt : im glad that mickle doesnt even smoke and he gets it lol,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.774131011,FALSE
7225,rt : did lana del rey just vape through her mask,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.770006645,FALSE
7227,me &amp; smoke went out for wings .. dont make no sense the way i threw back wings &amp; a fresh basket of fries,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7237,dandose guille y andan con el vape to el dia en la boca,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.436786918,FALSE
7242,n pega covid mas n larga esse vape eita como saudvel,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.582420896,FALSE
7250,"smoke a spliff, play ball or read manga",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.822965482,FALSE
7251,"sad news. kim was a great guy. back in e freelancing days, i got to have an hour long personal writing session through wotc. he really encouraged me. i ran into him on a smoke break at garycon and got to catch up and thank him again.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.686213538,FALSE
7256,how do i tell my parents that i legit do not smoke but aaj literally mood bahot scared maamla hai to ek sutta please broski once only-,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.835164321,FALSE
7262,"even smoke, he thought, with a tender pity in his little #nft",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7265,idk how im gonna be able to not smoke for a while during my pro*ation,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7271,rt : hit it from the back as i smoke my blunt #nsfwtw #nsfwtwt #nsfwtwt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7274,"rt : lana del rey live on instagram, vaping through her mask",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.542247974,FALSE
7290,if its smoke lemme kno sum either way im untouched,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.711767045,FALSE
7293,"my number turn-on is perching myself atop an acme brand rocket that upon ignition flies out from underneath me, spraying me with its flame and covering me in soot and smoke while i hold a sign that says ""yikes!"" there is no greater pleasure",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.807113177,FALSE
7329,he should be allowed to smoke. manhood was not all roses. #nft,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7332,rt : someone come smoke me out,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7342,please get informed about vaping. it seems like you are clueless about it. you should have a nice long chat with people like . and please stop spewing misinformation around.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.864267453,FALSE
7360,that shit makes me wanna smoke with a bad bitch,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7365,rt : not lana del rey vaping through her mask,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.596121881,FALSE
7376,the time he reached the foot of the ladder the smoke and,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7380,dejalo le pego el vape d seguro,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.711318592,FALSE
7385,"when im stress i smoke, when im happy i smoke, i just smoke thats my thing",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.924022826,FALSE
7390,definitely need a smoke buddy,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.942996707,FALSE
7398,don't all young people just vape anyway.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.706020019,FALSE
7399,rt : sometimes you need a smoke break when you're gooning out. knows gooning and shows off his bloated bator bo,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.927450379,FALSE
7409,oh..he used to smoke aa,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7429,rt : who tryna smoke n choke!?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7447,rt : smoke and cum rt for more.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.919316865,FALSE
7453,the niggas callin me a bitch for not hittin they fruity ass vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7456,smoke stack of the old babcock dairy in toledo ohio.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.756401757,FALSE
7480,gcguw8pltt # # i will smoke and i don't give a fuck abo # # # # # #,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
7483,okay so send some money then if you can afford to smoke oz a day,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.965728816,FALSE
